"TOA5","WiFsCR350","CR350","2743","CR350-CELL215.Std.1.06","CPU:SapFlowWinnefeldBeech20250611.CRB","6441","Status"
"TIMESTAMP","RECORD","OSVersion","OSDate","OSSignature","SerialNumber","StationName","ProgName","StartTime","RunSignature","ProgSignature","WatchdogErrors","PanelTemp","Battery","LithiumBattery","CompileResults","StartUpCode","ProgErrors","VarOutOfBound","SkippedScan","SkippedSlowScan","WiFiUpdateReq","DataStorageSize","DataStorageFree","SerialFlashErrors","MemorySize","MemoryFree","CPUDriveFree","CommsMemFree","FullMemReset","MeasureTime","ProcessTime","MaxProcTime","LastSlowScan","SlowProcTime","MaxSlowProcTime","PortStatus(1)","PortStatus(2)","PortConfig(1)","PortConfig(2)","SW12Volts(1)","SW12Volts(2)","PakBusRoutes","CalGainSlow2500","CalGainMed2500","CalGainFast2500","CalGainSlow34","CalGainMed34","CalGainFast34","CalOffset"
"TS","RN","","","","","","","","","","","DegC","Volts","","","","","","","","","bytes","bytes","","bytes","bytes","bytes","","","usec","usec","usec","","usec","usec","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-06-19 12:06:14.396",46,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,18.57996,12.48017,3.241778,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195744 available.",0,300,149486909,185686491,"2025-06-19 12:06:00",331,15002547,0,0,"Input","none",-1,0,"218,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-19 14:02:14.87",47,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,18.90948,12.49698,3.241778,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192584 available.",0,300,148215422,185686491,"2025-06-19 14:02:00",278,15002547,0,0,"SDI-12","none",0,0,"219,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-19 16:02:11.635",48,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,19.12368,12.49923,3.241778,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192584 available.",0,300,148809948,185686491,"2025-06-19 16:02:00",278,15002547,0,0,"SDI-12","none",0,0,"220,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-19 18:12:02.355",49,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,19.59936,12.49866,3.241778,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195728 available.",0,300,149704977,185686491,"2025-06-19 18:12:00",331,15002547,0,0,"Input","none",0,0,"224,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-19 22:02:12.873",50,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,15.52218,12.47792,3.241778,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192584 available.",0,300,149366858,185686491,"2025-06-19 22:02:00",278,15002547,0,0,"SDI-12","none",0,0,"228,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-20 10:02:14.728",51,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,14.95751,12.44653,3.241778,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192600 available.",0,300,148532811,185686491,"2025-06-20 10:02:00",348,15002547,0,0,"SDI-12","none",0,0,"229,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-20 18:02:17.247",52,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,20.71878,12.46783,3.24449,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192600 available.",0,300,148216813,185686491,"2025-06-20 18:02:00",60819,15002547,0,0,"SDI-12","none",0,0,"242,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-20 20:06:03.14",53,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,19.62176,12.45045,3.24449,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195728 available.",0,300,149144731,185686491,"2025-06-20 20:06:00",331,15002547,0,0,"Input","none",0,0,"244,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-20 22:02:15.968",54,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,17.95093,12.45886,3.24449,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192584 available.",0,300,149406217,185686491,"2025-06-20 22:02:00",6865,15002547,0,0,"SDI-12","none",0,0,"245,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-21 10:08:20.077",55,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,19.3578,12.43252,3.24449,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195744 available.",0,300,148540994,185686491,"2025-06-21 10:08:00",278,15002547,0,0,"Input","none",0,0,"248,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-21 14:02:15.225",56,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,23.7392,12.43364,3.24449,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195728 available.",0,300,150379691,185686491,"2025-06-21 14:02:00",278,15002547,0,0,"Input","none",0,0,"252,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-21 16:02:21.03",57,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,24.52121,12.44653,3.249916,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7192584 available.",0,300,149474683,185686491,"2025-06-21 16:02:00",331,15002547,0,0,"SDI-12","none",0,0,"253,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
"2025-06-21 22:05:59.208",58,"CR350-CELL215.Std.1.06","6/28/2024",60549,"2743","Wi_ Fs_CR350","CPU:SapFlowWinnefeldBeech20250611.CRB","2025-06-11 15:42:51.000995",1842,6441,0,21.60861,12.43083,3.249916,"CPU:SapFlowWinnefeldBeech20250611.CRB -- Compiled OK.  ",-1,0,0,0,0,0,52428800,8192,0,8454144,7279112,51076000,"7195728 available.",0,300,147801383,185686491,"2025-06-21 22:05:00",277,15002547,0,0,"Input","none",0,0,"261,4070,4070,5000  ",0.9996672,1.000228,1.000232,0.9992515,0.9999114,1.000658,0
